data;prioridade;ativo;stopGain;StopLoss
2015-11-19;1;CSNA3;5,93;5,59
2015-11-24;1;TIMP3;9,16;8,91
2015-11-04;1;CSNA3;5,25;4,95
2015-11-16;1;CPLE6;32,74;31,97
2015-11-05;1;GFSA3;3,02;2,89
2015-11-10;1;CSNA3;5,29;5,19
2015-11-20;1;GGBR4;6,27;5,97
2015-11-25;1;CSNA3;6,24;6,07
2015-11-06;1;BRFS3;60,56;59,03
2015-11-11;1;OIBR4;2,22;2,17
2015-11-23;1;CMIG4;7,58;7,47
2015-11-26;1;CSNA3;6,31;6,22
2015-12-01;1;EMBR3;35,12;33,18
2015-11-17;1;PETR4;8,09;7,82
2015-11-09;1;BRKM5;23,16;22,72
2015-11-12;1;OIBR4;2,25;2,2
2015-11-27;1;OIBR4;1,95;1,92
2015-11-18;1;SANB4;7,54;7,23
2015-11-30;1;BRKM5;26,32;26
2015-11-13;1;SANB4;6,91;6,78
2015-11-03;1;CSNA3;4,7;4,58
